SHAP Aggregated — HURRAH | tabpfn
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
FUMO_ATT                                      0.018279      0.005795
HB                                            0.018258      0.004448
HF_BASE                                       0.017147      0.005000
NORMOMICROMACRO                               0.016473      0.004944
IMA_BASE                                      0.016113      0.004687
ETANOLO_G_DIE                                 0.016090      0.006815
ALTRO_CAA                                     0.015470      0.004224
CBV_BASE                                      0.015467      0.004788
ATT_FIS_H_SETT                                0.015079      0.005682
AZOTEMIA                                      0.014250      0.005856
IMT                                           0.013254      0.003875
OMEGA_3                                       0.013004      0.004854
FIBRATI                                       0.012309      0.004083
DIURETICI                                     0.012303      0.004180
EZETEMIBE                                     0.012298      0.003219
ATT_FIS                                       0.011227      0.004127
CAA_DIID                                      0.010616      0.002594
HDL                                           0.010602      0.004155
FU_NF_FA                                      0.009965      0.004135
VITA                                          0.009850      0.002557
FC                                            0.009423      0.003828
NF_FA                                         0.009183      0.003112
GOTTA                                         0.009026      0.003354
BMI                                           0.008898      0.003449
INDAPAMIDE                                    0.008774      0.003318
FA_BASE                                       0.008478      0.003214
MENOPAUSA                                     0.008452      0.002935
CREATININA                                    0.007861      0.004729
TG                                            0.007121      0.002333
CLORTALIDONE                                  0.006169      0.001911
ANNI_MENOP                                    0.005634      0.002632
PCR                                           0.005501      0.002365
HT                                            0.005374      0.003326
ALCOOL                                        0.004944      0.002143
HCTZ                                          0.004918      0.002829
BETABLOCCANTI                                 0.004752      0.001886
ACEI                                          0.004047      0.002589

======================================================================
  Preprocessing: NaN  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ETA                                           0.854730      0.126152
HCTZ                                          0.084221      0.030702
ALCOOL                                        0.075298      0.030475
INS_CARD                                      0.071885      0.022069
STATINA                                       0.070307      0.028077
FUMO_ATT                                      0.051920      0.019049
GLICEMIA                                      0.047051      0.018564
FA_BASE                                       0.044122      0.021547
FAM_CV                                        0.043789      0.014706
PAS                                           0.042973      0.014201
ATT_FIS_H_SETT                                0.042963      0.017419
SARTANI                                       0.041816      0.011058
OMEGA_3                                       0.038637      0.015434
URICEMIA                                      0.036980      0.012986
CREATININA                                    0.035829      0.013305
SESSO                                         0.032530      0.014456
AZOTEMIA                                      0.030542      0.011367
FAM_IPERT                                     0.029808      0.008496
IMT                                           0.028409      0.012508
ETANOLO_G_DIE                                 0.024989      0.008337
ATT_FIS                                       0.022759      0.009568
PCR                                           0.021962      0.007427
HB                                            0.020982      0.006612
NORMOMICROMACRO                               0.020727      0.005451
FC                                            0.020699      0.010427
PLACCA                                        0.020095      0.007635
PESO                                          0.019439      0.007212
CLORTALIDONE                                  0.018297      0.007237
MENOPAUSA                                     0.018149      0.007485
DIABETE                                       0.017925      0.004549
HT                                            0.017865      0.007967
VITA                                          0.017458      0.008029
TG                                            0.017199      0.006344
EZETEMIBE                                     0.016315      0.007655
PAD                                           0.015850      0.009721
BMI                                           0.014783      0.005149
NF_FA                                         0.014776      0.005952
CT                                            0.014586      0.007468
ANNI_MENOP                                    0.014248      0.005351
CAA_DIID                                      0.013969      0.005291
ALTEZZA                                       0.013596      0.005429
ACEI                                          0.012652      0.004191
ACIDO_NICOTINICO                              0.012509      0.004698
INDAPAMIDE                                    0.012041      0.004656
IPERTESO                                      0.011827      0.004382
EXFUMO                                        0.011104      0.004382
RESINE                                        0.010936      0.004161
BETABLOCCANTI                                 0.010869      0.004020
IRC                                           0.010770      0.004580
DELL_ANSA                                     0.010364      0.004381
GOTTA                                         0.009845      0.002839
ALTRO_CAA                                     0.008933      0.004265
ALB_CAT                                       0.008782      0.003736
DIURETICI                                     0.008525      0.002479
CBV_BASE                                      0.008000      0.002169
HDL                                           0.007343      0.002789
HF_BASE                                       0.007295      0.001827
FIBRATI                                       0.007034      0.002786
ALLOPURINOLO                                  0.006995      0.002464
FU_NF_FA                                      0.006622      0.003183
IMA_BASE                                      0.006552      0.002947

--- deepsurv_vanilla ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ETA                                           0.871909      0.469973
ALCOOL                                        0.137722      0.083120
INS_CARD                                      0.109318      0.045274
HCTZ                                          0.090447      0.063253
STATINA                                       0.073847      0.050891
PAS                                           0.073257      0.065920
FA_BASE                                       0.069712      0.064596
FUMO_ATT                                      0.069090      0.043166
GLICEMIA                                      0.068312      0.043250
SARTANI                                       0.067896      0.041846
ATT_FIS_H_SETT                                0.063878      0.042804
OMEGA_3                                       0.062470      0.021941
FAM_IPERT                                     0.060679      0.038691
SESSO                                         0.055821      0.056367
FAM_CV                                        0.054490      0.031675
AZOTEMIA                                      0.053581      0.031054
CREATININA                                    0.053225      0.024214
URICEMIA                                      0.052267      0.041453
PLACCA                                        0.045335      0.030840
ETANOLO_G_DIE                                 0.039978      0.018919
NORMOMICROMACRO                               0.039719      0.018156
EZETEMIBE                                     0.039239      0.033272
ALTEZZA                                       0.039017      0.023388
HT                                            0.038512      0.024409
IMT                                           0.037409      0.022474
ATT_FIS                                       0.034652      0.018264
