SHAP — HURRAH | tabicl | preprocess: -1 | seed: 77
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ACIDO_NICOTINICO                          0.101227       0.037508
FA_BASE                                   0.100955       0.021332
PESO                                      0.098835       0.033336
NF_FA                                     0.088673       0.020319
IRC                                       0.084527       0.015580
IMA_BASE                                  0.083632       0.018061
OMEGA_3                                   0.079751       0.056765
FUMO_ATT                                  0.078722       0.013327
FU_NF_FA                                  0.075135       0.038808
HDL                                       0.071856       0.024440
STATINA                                   0.070215       0.042673
ETA                                       0.067376       0.033971
ALTEZZA                                   0.065160       0.049446
FC                                        0.063514       0.016892
ALB_CAT                                   0.061885       0.018887
BMI                                       0.060824       0.021072
DIABETE                                   0.059316       0.017704
FIBRATI                                   0.058691       0.027096
PAD                                       0.057475       0.022682
CREATININA                                0.056991       0.027680
TG                                        0.056834       0.019675
IPERTESO                                  0.052692       0.017593
URICEMIA                                  0.041500       0.017882
PAS                                       0.034273       0.013029

--- cox_baseline ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
PAD                                 70218416393422939095040.000000 140436236630207315836928.000000
ATT_FIS                             59782291776823076323328.000000 119549831218413965410304.000000
ETA                                 59041590056830321557504.000000 118079803965608535523328.000000
SESSO                               51274753045611373658112.000000 102505506097197469401088.000000
NORMOMICROMACRO                     29259510457290964598784.000000 58513893455723526881280.000000
GLICEMIA                            17477005497681804525568.000000 31794751147174849937408.000000
FC                                  12305178037325192495104.000000 21820825674719038537728.000000
ALTRO_CAA                           3158875805749432811520.000000 6317368663162738442240.000000
ETANOLO_G_DIE                       2199070256669894115328.000000 3313483617846959800320.000000
CT                                  2059698768008615821312.000000 3048765079750857195520.000000
SARTANI                             1805466552325822218240.000000 3610924404674290253824.000000
DIURETICI                           1699322363311087419392.000000 3313420236511147196416.000000
PAS                                 1435841256228064067584.000000 2798845754289993285632.000000
ALTEZZA                             866985252892297265152.000000 1731422998988671418368.000000
ALCOOL                              735155983090479005696.000000 1469783571816833875968.000000
VITA                                576135949927169654784.000000 1045393252856544624640.000000
GOTTA                               575282486632564260864.000000 1149008724132810457088.000000
HDL                                 438576410435523903488.000000 846297864690116984832.000000
OMEGA_3                             433030491463003471872.000000 862241578455227826176.000000
PCR                                 419956818978662383616.000000 825955674371664904192.000000
FAM_IPERT                           378141861577469722624.000000 749540445066506272768.000000
EXFUMO                              337571590986162634752.000000 672866668206732476416.000000
TG                                  286347953275857600512.000000 493515461683490258944.000000
CREATININA                          252918264908581011456.000000 505061170617512296448.000000
BETABLOCCANTI                       251833288210122342400.000000 503614150559694716928.000000
FAM_CV                              163072742356456669184.000000 325518457309290168320.000000
INDAPAMIDE                          146081463944879308800.000000 292099725451528503296.000000
HT                                  125327497148302852096.000000 245856513650341249024.000000
ALLOPURINOLO                        114618785868210847744.000000 213516012154117128192.000000
RESINE                              110249153410254913536.000000 220476933440007110656.000000
HCTZ                                105956631380963721216.000000 196834331673745457152.000000
BMI                                 98378896403433586688.000000 193336716604361736192.000000
CAA_DIID                            64073463820996927488.000000 122563070363210448896.000000
STATINA                             56940364797240598528.000000 113863230983439007744.000000
NF_FA                               53482878404921008128.000000 106728336001557118976.000000
IMT                                 44462856955679227904.000000 87479598629939527680.000000
HB                                  38485620993236492288.000000 70293529066754007040.000000
CBV_BASE                            37773754845714464768.000000 69194160637131079680.000000
HF_BASE                             36147251517012762624.000000 66442853971385638912.000000
ANNI_MENOP                          35747300412611952640.000000 71486845258327359488.000000
FUMO_ATT                            35104665611273175040.000000 67841712806762717184.000000
IRC                                 27075421430896381952.000000 47133640759694327808.000000
URICEMIA                            23020651315495591936.000000 45913988215268147200.000000
EZETEMIBE                           22850659932370460672.000000 45647107266266824704.000000
PESO                                21776310113986605056.000000 33279081419486887936.000000
DIABETE                             20343327452161368064.000000 32384413769057071104.000000
PLACCA                              18702512181600866304.000000 37066144422935789568.000000
ACIDO_NICOTINICO                    17583519946239766528.000000 32438151683891916800.000000
FU_NF_FA                            13779626275912626176.000000 26787629468273823744.000000
ACEI                                12894903757602418688.000000 25578441921103142912.000000
IPERTESO                            12500410123760144384.000000 17985299016594544640.000000
ATT_FIS_H_SETT                      8432421073857137664.000000 14798585428816431104.000000
FIBRATI                             6000948875997592576.000000 4618670168744991744.000000
AZOTEMIA                            3885944027506117632.000000 7756409973460260864.000000
CLORTALIDONE                        3843061460623753216.000000 4221511277333691904.000000
FA_BASE                             3576030987624852992.000000 7124703201184235520.000000
DELL_ANSA                           2134605371001350912.000000 4017807322561059840.000000
IMA_BASE                            1578053792491943424.000000 2684120669988286976.000000
ALB_CAT                             717154035567694848.000000 1309325796672728576.000000
MENOPAUSA                           92718536786958960.000000 159137897907555840.000000
INS_CARD                            57328461987283184.000000 102127148250633632.000000
