SHAP Aggregated — OrmoniTirodei | tabpfn
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
Previous Myocardial Infarction                0.007186      0.003474
Antiplatelet                                  0.007154      0.001989
Angina                                        0.006992      0.002447
Previous CABG                                 0.006975      0.003249
Previous PCI                                  0.006744      0.002494
Hypertension
History of hypertension                       0.006504      0.002978
Documented resting
or exertional ischemia                        0.006484      0.003466
PMI                                           0.006477      0.003121
Acute Myocardial Infarction                   0.006455      0.002881
Antidiabetici                                 0.006386      0.002060
AMI                                           0.006269      0.002541
MalattiaVasoAorta                             0.006107      0.002468
Calcium channel blockers                      0.005970      0.002584
Primary Dilated
Cardiomyopathy                                0.005938      0.002552
Pericardite                                   0.005851      0.003069
Nitrates                                      0.005514      0.002394
Subclinical primary hyperthyroidism
(SCT)                                         0.005451      0.002622
Amiodarone                                    0.005387      0.002119
Ipertiroidismo                                0.005338      0.002059
Atrial Fibrillation                           0.005106      0.001462
Ipertensione                                  0.004960      0.002593
Aritmie                                       0.004768      0.002515
Ipotiroidismo                                 0.004370      0.002772
Miocardite                                    0.003593      0.002895
Ictus_event                                   0.002976      0.003063
SindromeX                                     0.002292      0.003072
Endocardite                                   0.001262      0.001619
MIO                                           0.001156      0.001990
EmboliaPolmonare                              0.001132      0.001721

--- deepsurv_vanilla_baseline ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                           0.512038      0.046055
fe                                            0.215854      0.031208
Angiography                                   0.044706      0.015731
Ipolipemizzanti                               0.043226      0.007812
Diuretics                                     0.041887      0.010366
LDL                                           0.041772      0.028616
Vessels                                       0.035828      0.012902
Creatinina                                    0.031765      0.009983
Glycemia                                      0.031747      0.014916
PCI                                           0.031701      0.012434
CABG                                          0.029460      0.018851
fT4                                           0.023990      0.010545
Weight                                        0.021020      0.010725
Dyslipidemia
Hystory of dyslipidemia                       0.020548      0.005166
Non Fatal AMI (Follow-Up)                     0.020250      0.010320
Valvulopatie                                  0.020153      0.005969
Diastolic blood pressure                      0.019181      0.010592
fT3                                           0.018588      0.006774
Diabetes
History of diabetes                           0.018394      0.006631
DimSettoIV                                    0.016967      0.006633
Total cholesterol                             0.015169      0.006402
HR                                            0.014829      0.008672
Triglycerides                                 0.014087      0.010371
BMI                                           0.012334      0.006538
Systolic blood pressure                       0.011865      0.006277
Gender (Male = 1)                             0.010972      0.004338
B-Blockers                                    0.010453      0.004164
Ictus                                         0.010292      0.008304
EPA                                           0.009787      0.002778
HDL                                           0.009435      0.005388
Euthyroid                                     0.009098      0.003352
TSH                                           0.008754      0.005523
Antiplatelet                                  0.008341      0.004361
Angina                                        0.007771      0.002653
vsx                                           0.007088      0.002988
Subclinical primary hypothyroidism (SCH)      0.007026      0.002524
ACE-inhibitors                                0.006977      0.003150
DimPP                                         0.006917      0.002853
Height                                        0.006610      0.003785
WmsiBas                                       0.006468      0.003132
Previous Myocardial Infarction                0.006207      0.002327
PMI                                           0.005933      0.001959
Post-ischemic Dilated
Cardiomyopathy                                0.005852      0.002238
Normal                                        0.005649      0.003271
Documented resting
or exertional ischemia                        0.005512      0.002344
Smoke
History of smoke                              0.005414      0.002748
CAD                                           0.005267      0.002474
Low T3                                        0.005192      0.002123
Previous CABG                                 0.004805      0.001957
Hypertension
History of hypertension                       0.004690      0.001771
Calcium channel blockers                      0.004581      0.002153
PCI_event                                     0.004542      0.001521
CABG _event                                   0.004535      0.002203
Primary Dilated
Cardiomyopathy                                0.004530      0.002339
Aritmie                                       0.004382      0.001816
Antidiabetici                                 0.004358      0.001563
AMI                                           0.004238      0.001908
MalattiaVasoAorta                             0.004177      0.002067
Amiodarone                                    0.004133      0.001060
Nitrates                                      0.004118      0.002048
Ipertensione                                  0.004009      0.001937
Atrial Fibrillation                           0.003743      0.001501
Pericardite                                   0.003600      0.002142
Ipotiroidismo                                 0.003541      0.001779
Acute Myocardial Infarction                   0.003527      0.001836
Previous PCI                                  0.003272      0.001603
Subclinical primary hyperthyroidism
(SCT)                                         0.003239      0.001754
Ictus_event                                   0.003156      0.002638
Non Fatal AMI (Follow-Up)_event               0.003147      0.001101
Ipertiroidismo                                0.003087      0.001778
MIN                                           0.002906      0.002059
Miocardite                                    0.002419      0.002246
SindromeX                                     0.001415      0.001735
MIO                                           0.001161      0.002045
Endocardite                                   0.000824      0.001087
EmboliaPolmonare                              0.000723      0.001113

--- rsf_baseline ---
